id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
5606440,1651456,Lydia,2012-01-25,"Austin, Texas, United States",within an hour,100%,100%,t,Steiner Ranch,2.0,"['email', 'phone', 'reviews', 'kba']",t,t
4394031,22810123,Jeanie,2014-10-21,US,,,100%,f,Steiner Ranch,1.0,"['email', 'phone', 'google', 'linkedin']",t,f
6066627,18845205,Brendan,2014-07-25,"Austin, Texas, United States",within a day,71%,100%,f,Steiner Ranch,1.0,"['email', 'phone', 'reviews', 'kba']",t,t
8205083,15303928,Chain,2014-05-09,"New York, New York, United States",,,,f,Steiner Ranch,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
8647145,4122442,Karen,2012-11-11,"Austin, Texas, United States",within a few hours,100%,70%,f,West Austin,14.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews']",t,f
8538141,31148752,Bo,2015-04-13,US,within a few hours,98%,81%,f,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,t
5391565,4852962,Susan,2013-01-26,"Austin, Texas, United States",within an hour,100%,100%,f,,2.0,"['email', 'phone', 'facebook', 'reviews']",t,f
8538670,31148752,Bo,2015-04-13,US,within a few hours,98%,81%,f,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,t
775002,4088310,Beatrice,2012-11-07,US,,,,f,Steiner Ranch,1.0,['phone'],t,f
5530513,28680171,Ann,2015-03-03,US,within a few hours,90%,100%,f,Steiner Ranch,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t
8681039,45584851,Jenelle,2015-10-02,US,within a day,100%,50%,f,,1.0,"['email', 'phone']",t,f
5562945,28842686,Brendan,2015-03-06,US,within a day,100%,,f,Steiner Ranch,1.0,"['email', 'phone']",t,f
4704597,24319090,Helen,2014-11-30,"Austin, Texas, United States",within an hour,100%,100%,f,Steiner Ranch,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,t
3230604,16350192,Kimberly,2014-06-03,"Austin, Texas, United States",within a few hours,86%,100%,f,,1.0,"['email', 'phone', 'reviews']",t,f
951773,1651456,Lydia,2012-01-25,"Austin, Texas, United States",within an hour,100%,100%,t,Steiner Ranch,2.0,"['email', 'phone', 'reviews', 'kba']",t,t
8268970,33604051,K,2015-05-17,"Austin, Texas, United States",within an hour,100%,100%,f,Oak Hill,1.0,"['email', 'phone', 'google', 'jumio']",t,t
7717113,39525617,Dawn,2015-07-25,"Austin, Texas, United States",within a day,70%,100%,f,Oak Hill,1.0,"['email', 'phone', 'reviews']",t,f
8796080,46094709,Linda,2015-10-08,US,within an hour,100%,,f,,1.0,"['email', 'phone']",t,f
1645518,8732670,Diane And Gary,2013-09-09,"Austin, Texas, United States",within an hour,100%,88%,t,,1.0,"['email', 'phone', 'reviews', 'kba']",t,t
2583106,13226397,Pam And Mark,2014-03-17,"Austin, Texas, United States",within an hour,100%,100%,t,,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",t,t
8812681,31148752,Bo,2015-04-13,US,within a few hours,98%,81%,f,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",t,t
8192070,33563603,Chris,2015-05-17,"Austin, Texas, United States",within a few hours,100%,90%,f,,1.0,"['email', 'phone', 'google', 'reviews', 'kba']",t,t
7733669,22677726,Chelle,2014-10-18,"Austin, Texas, United States",within a day,80%,85%,f,,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t
3840726,19789267,Barbara & Alston,2014-08-10,"Austin, Texas, United States",within a few hours,90%,100%,t,,1.0,"['email', 'phone', 'reviews', 'kba']",t,t
642674,2033896,Leslie,2012-03-29,"Dripping Springs, Texas, United States",within an hour,100%,92%,f,,1.0,"['email', 'phone', 'reviews', 'kba']",t,t
1019294,5552270,Jean,2013-03-20,"Austin, Texas, United States",,,,f,,1.0,"['email', 'phone', 'facebook', 'reviews']",t,f
8553138,44335002,Lori,2015-09-16,,,,,f,,1.0,"['email', 'phone', 'google', 'jumio']",t,t
234194,1207603,Cj,2011-09-25,"Austin, Texas, United States",within an hour,100%,100%,f,,2.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",t,t
592924,2920913,Beth,2012-07-12,"Austin, Texas, United States",within an hour,100%,100%,f,,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
7024547,36821379,Morningsun Manor,2015-06-26,US,,,,f,,1.0,"['email', 'phone']",t,f
1782483,9356086,Ashish,2013-10-10,"Austin, Texas, United States",within a few hours,100%,,f,Oak Hill,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
5372341,26004097,Susan,2015-01-12,"Austin, Texas, United States",within an hour,100%,100%,t,,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
5105066,26378062,Beverly,2015-01-19,"Dripping Springs, Texas, United States",within an hour,100%,25%,f,,1.0,"['email', 'phone', 'reviews']",t,f
3129625,13304058,Jeanette,2014-03-19,"Austin, Texas, United States",within a few hours,100%,89%,t,,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t
1782433,9356086,Ashish,2013-10-10,"Austin, Texas, United States",within a few hours,100%,,f,Oak Hill,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
4957175,25552242,John,2015-01-03,"Austin, Texas, United States",within a few hours,100%,,f,,1.0,"['email', 'phone', 'google', 'jumio']",t,t
5570703,3425666,Nate,2012-08-30,"Austin, Texas, United States",,,,f,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews', 'sent_id']",t,t
4404358,22863088,Natasha,2014-10-22,"Austin, Texas, United States",,,,f,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",t,t
8697893,9193308,Melissa,2013-10-02,"Austin, Texas, United States",,,,f,Allendale,1.0,"['email', 'phone', 'facebook']",t,f
3353855,337459,Earphoria,2011-01-06,"Chicago, Illinois, United States",within a day,56%,78%,f,Avondale,5.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
8210932,11000410,Matt,2014-01-03,"Austin, Texas, United States",,,,f,Allendale,1.0,"['email', 'phone', 'reviews', 'jumio']",t,t
3832994,19733968,Steve,2014-08-09,"Austin, Texas, United States",within a few hours,100%,,f,Rosedale,1.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews']",t,f
4288403,21153184,Aaron And Leigh,2014-09-10,"Austin, Texas, United States",within an hour,100%,93%,f,Rosedale,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",t,t
1248702,5446383,Chris,2013-03-13,"Austin, Texas, United States",within an hour,100%,100%,f,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t
