id,street,neighbourhood,city,state,zipcode,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,square_feet
72635,"West Slaughter Lane, Austin, TX 78749, United States",Circle C,Austin,TX,78749.0,US,United States,30.20282379578501,-97.88430895565078,True,House,Private room,6,2.5,1.0,3.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),""Other pet(s)"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials}",3600.0
5386323,"Seneca Falls Loop, Austin, TX 78739, United States",Circle C,Austin,TX,78739.0,US,United States,30.19941405604094,-97.90068356851768,True,Camper/RV,Private room,2,0.0,1.0,1.0,Futon,"{""Air Conditioning"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher""}",
8826517,"Mordor Cove, Austin, TX 78739, United States",,Austin,TX,78739.0,US,United States,30.16849634313263,-97.86448296572205,True,House,Private room,2,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",
8828616,"Mordor Cove, Austin, TX 78739, United States",,Austin,TX,78739.0,US,United States,30.16862128963007,-97.8648741913196,True,House,Private room,2,1.5,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door""}",
8536913,"Allamanda Drive, Austin, TX 78739, United States",,Austin,TX,78739.0,US,United States,30.169425565474555,-97.88831864172388,True,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",
8542056,"Viridian Lane, Austin, TX 78739, United States",Circle C,Austin,TX,78739.0,US,United States,30.18676367565741,-97.90744299786431,True,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",
6385948,"Cherisse Drive, Austin, TX 78739, United States",,Austin,TX,78739.0,US,United States,30.18769526684773,-97.92021715551185,True,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Futon,"{""Wireless Internet"",""Air Conditioning"",""Pets live on this property"",Heating,""Family/Kid Friendly""}",
8486890,"Back Bay Lane, Austin, TX 78739, United States",Circle C,Austin,TX,78739.0,US,United States,30.18318340901128,-97.89098664019056,True,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",
8633580,"Shaska cove, Austin, TX 78739, United States",,Austin,TX,78739.0,US,United States,30.189291843216004,-97.86937281577008,False,House,Private room,6,1.0,1.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo}",
5293632,"Aldama Drive, Austin, TX 78739, United States",,Austin,TX,78739.0,US,United States,30.170423708223087,-97.8699974399975,True,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",
7659967,"Corrientes Cove, Austin, TX 78739, United States",Circle C,Austin,TX,78739.0,US,United States,30.195145031694693,-97.8732540400925,True,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Pool,""Free Parking on Premises"",""Hot Tub"",Heating,""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector""}",
4045302,"Emerald Oaks Dr, Austin, TX 78734, United States",,Austin,TX,78734.0,US,United States,30.15196822933792,-97.85736967249024,False,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,""Free Parking on Premises"",""Hot Tub"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Lock on Bedroom Door""}",
