id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
8796080,$89.00,$300.00,"$1,000.00",$200.00,,2,$0.00,2,1125,t,25,38,52,142,2015-11-07
1645518,$165.00,,,$100.00,,2,$10.00,2,14,t,7,37,67,157,2015-11-07
2583106,$115.00,,,,,1,$0.00,2,1125,t,29,59,89,179,2015-11-07
8812681,$909.00,,,,$165.00,1,$0.00,2,1125,t,29,43,73,337,2015-11-07
8192070,$135.00,$875.00,"$2,750.00",$150.00,,2,$0.00,2,1125,t,29,59,89,364,2015-11-07
7733669,$75.00,$450.00,,,$25.00,2,$25.00,1,1125,t,13,33,63,338,2015-11-07
3840726,$145.00,$975.00,,,$25.00,3,$25.00,2,7,t,20,50,80,355,2015-11-07
642674,$125.00,$750.00,"$2,700.00",$150.00,,2,$15.00,2,1125,t,27,48,78,344,2015-11-07
1019294,$350.00,,,,,1,$0.00,3,1125,t,30,60,90,365,2015-11-07
8553138,$130.00,,,,$30.00,1,$10.00,2,5,t,29,59,89,364,2015-11-07
234194,$59.00,$345.00,$875.00,$100.00,$15.00,2,$0.00,1,365,t,29,59,89,362,2015-11-07
592924,$89.00,$570.00,,$200.00,$30.00,1,$0.00,1,7,t,29,59,89,364,2015-11-07
7024547,$600.00,,,"$1,000.00",$200.00,10,$50.00,2,1125,t,26,55,85,244,2015-11-07
1782483,$150.00,$700.00,,,,1,$0.00,1,1125,t,30,60,90,365,2015-11-07
5372341,$65.00,,,,,2,$35.00,1,1125,t,19,26,56,331,2015-11-07
5105066,$175.00,"$1,100.00","$3,000.00",,,2,$15.00,1,1125,t,8,38,68,343,2015-11-07
3129625,$150.00,$800.00,"$2,500.00",$250.00,$30.00,1,$0.00,1,1125,t,17,47,77,352,2015-11-07
1782433,$450.00,,,,,1,$0.00,1,30,t,30,60,90,365,2015-11-07
4957175,"$6,500.00",,,,,1,$0.00,4,28,t,30,60,90,365,2015-11-07
5570703,$249.00,,,$500.00,$40.00,2,$50.00,1,1125,t,30,60,90,365,2015-11-07
4404358,$75.00,$350.00,,,$5.00,1,$0.00,1,14,t,28,58,88,88,2015-11-07
8697893,$120.00,$640.00,,$100.00,$35.00,1,$0.00,1,1125,t,0,0,0,9,2015-11-07
3353855,$75.00,$450.00,,,,1,$0.00,1,14,t,30,60,90,365,2015-11-07
8210932,$300.00,,,$300.00,,1,$0.00,2,1125,t,16,29,45,299,2015-11-07
3832994,$79.00,$400.00,"$1,200.00",,$20.00,2,$40.00,1,1125,t,30,60,90,365,2015-11-07
4288403,$109.00,$645.00,,,$29.00,3,$50.00,1,1125,t,2,2,6,262,2015-11-07
1248702,$88.00,,,$100.00,,3,$20.00,2,30,t,18,35,57,332,2015-11-07
6260941,$115.00,$755.00,"$2,500.00",$200.00,$80.00,4,$25.00,2,1125,t,23,32,54,316,2015-11-07
4202378,$144.00,$690.00,"$1,800.00",$150.00,$45.00,3,$20.00,2,1125,t,23,49,79,354,2015-11-07
2406050,$200.00,,,,,1,$0.00,2,1125,t,30,60,90,365,2015-11-07
5174831,$150.00,,,,,2,$75.00,1,1125,t,0,0,0,258,2015-11-07
6796522,$699.00,"$4,599.00","$9,999.00",$800.00,$150.00,1,$0.00,3,1125,t,29,59,89,364,2015-11-07
2454577,$625.00,,,$150.00,$65.00,6,$25.00,1,1125,t,30,60,90,365,2015-11-07
461404,$102.00,$749.00,,$100.00,$75.00,3,$25.00,2,7,t,9,20,20,293,2015-11-07
5506252,$250.00,,,,,1,$0.00,1,1125,t,0,0,0,225,2015-11-07
951537,$70.00,$460.00,,$300.00,$10.00,1,$0.00,3,6,t,0,19,19,247,2015-11-07
8652103,$119.00,,,$499.00,,1,$0.00,2,1125,t,28,58,88,332,2015-11-07
330705,$300.00,$700.00,"$2,100.00","$1,000.00",,1,$0.00,14,60,t,30,60,90,365,2015-11-07
329129,$199.00,,,$500.00,,1,$0.00,1,60,t,0,5,35,310,2015-11-07
3689085,$97.00,,,$100.00,$25.00,1,$0.00,1,1125,t,6,25,55,324,2015-11-07
2077867,$125.00,$650.00,"$1,800.00",$200.00,$89.00,2,$0.00,3,1125,t,11,11,11,11,2015-11-07
