id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
8205083,15303928,Chain,2014-05-09,"New York, New York, United States",,,,1.0,Steiner Ranch,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",0.0,0.0
8647145,4122442,Karen,2012-11-11,"Austin, Texas, United States",within a few hours,1.0,0.7,1.0,West Austin,14.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews']",0.0,1.0
5391565,4852962,Susan,2013-01-26,"Austin, Texas, United States",within an hour,1.0,1.0,1.0,,2.0,"['email', 'phone', 'facebook', 'reviews']",0.0,1.0
775002,4088310,Beatrice,2012-11-07,US,,,,1.0,Steiner Ranch,1.0,['phone'],0.0,1.0
5530513,28680171,Ann,2015-03-03,US,within a few hours,0.9,1.0,1.0,Steiner Ranch,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",0.0,0.0
8681039,45584851,Jenelle,2015-10-02,US,within a day,1.0,0.5,1.0,,1.0,"['email', 'phone']",0.0,1.0
5562945,28842686,Brendan,2015-03-06,US,within a day,1.0,,1.0,Steiner Ranch,1.0,"['email', 'phone']",0.0,1.0
4704597,24319090,Helen,2014-11-30,"Austin, Texas, United States",within an hour,1.0,1.0,1.0,Steiner Ranch,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",0.0,0.0
3230604,16350192,Kimberly,2014-06-03,"Austin, Texas, United States",within a few hours,0.86,1.0,1.0,,1.0,"['email', 'phone', 'reviews']",0.0,1.0
8268970,33604051,K,2015-05-17,"Austin, Texas, United States",within an hour,1.0,1.0,1.0,Oak Hill,1.0,"['email', 'phone', 'google', 'jumio']",0.0,0.0
7717113,39525617,Dawn,2015-07-25,"Austin, Texas, United States",within a day,0.7,1.0,1.0,Oak Hill,1.0,"['email', 'phone', 'reviews']",0.0,1.0
8796080,46094709,Linda,2015-10-08,US,within an hour,1.0,,1.0,,1.0,"['email', 'phone']",0.0,1.0
1645518,8732670,Diane And Gary,2013-09-09,"Austin, Texas, United States",within an hour,1.0,0.88,0.0,,1.0,"['email', 'phone', 'reviews', 'kba']",0.0,0.0
2583106,13226397,Pam And Mark,2014-03-17,"Austin, Texas, United States",within an hour,1.0,1.0,0.0,,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",0.0,0.0
8192070,33563603,Chris,2015-05-17,"Austin, Texas, United States",within a few hours,1.0,0.9,1.0,,1.0,"['email', 'phone', 'google', 'reviews', 'kba']",0.0,0.0
7733669,22677726,Chelle,2014-10-18,"Austin, Texas, United States",within a day,0.8,0.85,1.0,,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",0.0,0.0
3840726,19789267,Barbara & Alston,2014-08-10,"Austin, Texas, United States",within a few hours,0.9,1.0,0.0,,1.0,"['email', 'phone', 'reviews', 'kba']",0.0,0.0
642674,2033896,Leslie,2012-03-29,"Dripping Springs, Texas, United States",within an hour,1.0,0.92,1.0,,1.0,"['email', 'phone', 'reviews', 'kba']",0.0,0.0
1019294,5552270,Jean,2013-03-20,"Austin, Texas, United States",,,,1.0,,1.0,"['email', 'phone', 'facebook', 'reviews']",0.0,1.0
8553138,44335002,Lori,2015-09-16,,,,,1.0,,1.0,"['email', 'phone', 'google', 'jumio']",0.0,0.0
234194,1207603,Cj,2011-09-25,"Austin, Texas, United States",within an hour,1.0,1.0,1.0,,2.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",0.0,0.0
592924,2920913,Beth,2012-07-12,"Austin, Texas, United States",within an hour,1.0,1.0,1.0,,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",0.0,0.0
7024547,36821379,Morningsun Manor,2015-06-26,US,,,,1.0,,1.0,"['email', 'phone']",0.0,1.0
1782483,9356086,Ashish,2013-10-10,"Austin, Texas, United States",within a few hours,1.0,,1.0,Oak Hill,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",0.0,0.0
5372341,26004097,Susan,2015-01-12,"Austin, Texas, United States",within an hour,1.0,1.0,0.0,,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",0.0,0.0
5105066,26378062,Beverly,2015-01-19,"Dripping Springs, Texas, United States",within an hour,1.0,0.25,1.0,,1.0,"['email', 'phone', 'reviews']",0.0,1.0
3129625,13304058,Jeanette,2014-03-19,"Austin, Texas, United States",within a few hours,1.0,0.89,0.0,,1.0,"['email', 'phone', 'reviews', 'jumio']",0.0,0.0
4957175,25552242,John,2015-01-03,"Austin, Texas, United States",within a few hours,1.0,,1.0,,1.0,"['email', 'phone', 'google', 'jumio']",0.0,0.0
5570703,3425666,Nate,2012-08-30,"Austin, Texas, United States",,,,1.0,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews', 'sent_id']",0.0,0.0
4404358,22863088,Natasha,2014-10-22,"Austin, Texas, United States",,,,1.0,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",0.0,0.0
8697893,9193308,Melissa,2013-10-02,"Austin, Texas, United States",,,,1.0,Allendale,1.0,"['email', 'phone', 'facebook']",0.0,1.0
3353855,337459,Earphoria,2011-01-06,"Chicago, Illinois, United States",within a day,0.56,0.78,1.0,Avondale,5.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0.0,0.0
