id,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
8466296,31148752,Bo,2015-04-13,US,within a few hours,0.98,0.81,False,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,True
8537281,31148752,Bo,2015-04-13,US,within a few hours,0.98,0.81,False,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,True
4267135,4641823,Erica,2013-01-09,"Austin, Texas, United States",within a few hours,1.0,0.88,False,Upper Boggy Creek,339.0,"['email', 'phone', 'google', 'reviews', 'kba']",True,True
753947,3966350,Stephen,2012-10-24,"Austin, Texas, United States",within a few hours,1.0,0.5,False,Steiner Ranch,1.0,"['email', 'phone', 'reviews', 'kba']",True,True
8029167,42393385,Elise,2015-08-24,US,within a day,0.67,1.0,False,,1.0,['phone'],True,True
3802766,19538456,Charles,2014-08-05,US,,,,False,Steiner Ranch,1.0,"['email', 'phone']",True,True
6625221,34676081,Shannon,2015-05-31,US,,,,False,Steiner Ranch,1.0,['phone'],True,True
5606440,1651456,Lydia,2012-01-25,"Austin, Texas, United States",within an hour,1.0,1.0,True,Steiner Ranch,2.0,"['email', 'phone', 'reviews', 'kba']",True,True
4394031,22810123,Jeanie,2014-10-21,US,,,1.0,False,Steiner Ranch,1.0,"['email', 'phone', 'google', 'linkedin']",True,True
6066627,18845205,Brendan,2014-07-25,"Austin, Texas, United States",within a day,0.71,1.0,False,Steiner Ranch,1.0,"['email', 'phone', 'reviews', 'kba']",True,True
8205083,15303928,Chain,2014-05-09,"New York, New York, United States",,,,False,Steiner Ranch,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
8647145,4122442,Karen,2012-11-11,"Austin, Texas, United States",within a few hours,1.0,0.7,False,West Austin,14.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews']",True,True
8538141,31148752,Bo,2015-04-13,US,within a few hours,0.98,0.81,False,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,True
5391565,4852962,Susan,2013-01-26,"Austin, Texas, United States",within an hour,1.0,1.0,False,,2.0,"['email', 'phone', 'facebook', 'reviews']",True,True
8538670,31148752,Bo,2015-04-13,US,within a few hours,0.98,0.81,False,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,True
775002,4088310,Beatrice,2012-11-07,US,,,,False,Steiner Ranch,1.0,['phone'],True,True
5530513,28680171,Ann,2015-03-03,US,within a few hours,0.9,1.0,False,Steiner Ranch,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",True,True
8681039,45584851,Jenelle,2015-10-02,US,within a day,1.0,0.5,False,,1.0,"['email', 'phone']",True,True
5562945,28842686,Brendan,2015-03-06,US,within a day,1.0,,False,Steiner Ranch,1.0,"['email', 'phone']",True,True
4704597,24319090,Helen,2014-11-30,"Austin, Texas, United States",within an hour,1.0,1.0,False,Steiner Ranch,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",True,True
3230604,16350192,Kimberly,2014-06-03,"Austin, Texas, United States",within a few hours,0.86,1.0,False,,1.0,"['email', 'phone', 'reviews']",True,True
951773,1651456,Lydia,2012-01-25,"Austin, Texas, United States",within an hour,1.0,1.0,True,Steiner Ranch,2.0,"['email', 'phone', 'reviews', 'kba']",True,True
8268970,33604051,K,2015-05-17,"Austin, Texas, United States",within an hour,1.0,1.0,False,Oak Hill,1.0,"['email', 'phone', 'google', 'jumio']",True,True
7717113,39525617,Dawn,2015-07-25,"Austin, Texas, United States",within a day,0.7,1.0,False,Oak Hill,1.0,"['email', 'phone', 'reviews']",True,True
8796080,46094709,Linda,2015-10-08,US,within an hour,1.0,,False,,1.0,"['email', 'phone']",True,True
1645518,8732670,Diane And Gary,2013-09-09,"Austin, Texas, United States",within an hour,1.0,0.88,True,,1.0,"['email', 'phone', 'reviews', 'kba']",True,True
2583106,13226397,Pam And Mark,2014-03-17,"Austin, Texas, United States",within an hour,1.0,1.0,True,,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",True,True
8812681,31148752,Bo,2015-04-13,US,within a few hours,0.98,0.81,False,Holly,301.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,True
8192070,33563603,Chris,2015-05-17,"Austin, Texas, United States",within a few hours,1.0,0.9,False,,1.0,"['email', 'phone', 'google', 'reviews', 'kba']",True,True
7733669,22677726,Chelle,2014-10-18,"Austin, Texas, United States",within a day,0.8,0.85,False,,1.0,"['email', 'phone', 'google', 'reviews', 'jumio']",True,True
3840726,19789267,Barbara & Alston,2014-08-10,"Austin, Texas, United States",within a few hours,0.9,1.0,True,,1.0,"['email', 'phone', 'reviews', 'kba']",True,True
642674,2033896,Leslie,2012-03-29,"Dripping Springs, Texas, United States",within an hour,1.0,0.92,False,,1.0,"['email', 'phone', 'reviews', 'kba']",True,True
1019294,5552270,Jean,2013-03-20,"Austin, Texas, United States",,,,False,,1.0,"['email', 'phone', 'facebook', 'reviews']",True,True
8553138,44335002,Lori,2015-09-16,,,,,False,,1.0,"['email', 'phone', 'google', 'jumio']",True,True
234194,1207603,Cj,2011-09-25,"Austin, Texas, United States",within an hour,1.0,1.0,False,,2.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",True,True
592924,2920913,Beth,2012-07-12,"Austin, Texas, United States",within an hour,1.0,1.0,False,,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
7024547,36821379,Morningsun Manor,2015-06-26,US,,,,False,,1.0,"['email', 'phone']",True,True
1782483,9356086,Ashish,2013-10-10,"Austin, Texas, United States",within a few hours,1.0,,False,Oak Hill,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
5372341,26004097,Susan,2015-01-12,"Austin, Texas, United States",within an hour,1.0,1.0,True,,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
5105066,26378062,Beverly,2015-01-19,"Dripping Springs, Texas, United States",within an hour,1.0,0.25,False,,1.0,"['email', 'phone', 'reviews']",True,True
3129625,13304058,Jeanette,2014-03-19,"Austin, Texas, United States",within a few hours,1.0,0.89,True,,1.0,"['email', 'phone', 'reviews', 'jumio']",True,True
1782433,9356086,Ashish,2013-10-10,"Austin, Texas, United States",within a few hours,1.0,,False,Oak Hill,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
4957175,25552242,John,2015-01-03,"Austin, Texas, United States",within a few hours,1.0,,False,,1.0,"['email', 'phone', 'google', 'jumio']",True,True
5570703,3425666,Nate,2012-08-30,"Austin, Texas, United States",,,,False,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews', 'sent_id']",True,True
4404358,22863088,Natasha,2014-10-22,"Austin, Texas, United States",,,,False,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
8697893,9193308,Melissa,2013-10-02,"Austin, Texas, United States",,,,False,Allendale,1.0,"['email', 'phone', 'facebook']",True,True
3353855,337459,Earphoria,2011-01-06,"Chicago, Illinois, United States",within a day,0.56,0.78,False,Avondale,5.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
8210932,11000410,Matt,2014-01-03,"Austin, Texas, United States",,,,False,Allendale,1.0,"['email', 'phone', 'reviews', 'jumio']",True,True
3832994,19733968,Steve,2014-08-09,"Austin, Texas, United States",within a few hours,1.0,,False,Rosedale,1.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews']",True,True
4288403,21153184,Aaron And Leigh,2014-09-10,"Austin, Texas, United States",within an hour,1.0,0.93,False,Rosedale,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']",True,True
1248702,5446383,Chris,2013-03-13,"Austin, Texas, United States",within an hour,1.0,1.0,False,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
6260941,22234571,Cathleen,2014-10-07,"Austin, Texas, United States",within an hour,1.0,0.9,False,Rosedale,2.0,"['email', 'phone', 'google', 'reviews']",True,True
4202378,12868923,Roanna,2014-03-06,"Austin, Texas, United States",within an hour,1.0,1.0,True,Allendale,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,True
2406050,941206,Andrew,2011-08-08,"Austin, Texas, United States",,,,False,Rosedale,1.0,"['email', 'phone', 'reviews']",True,True
5174831,20631833,Aurora,2014-08-28,"Austin, Texas, United States",,,,False,Rosedale,1.0,"['email', 'phone', 'google', 'kba']",True,True
6796522,35575004,Heidi,2015-06-11,US,within a day,0.67,,False,Rosedale,1.0,"['email', 'phone']",True,True
2454577,10467446,Tim,2013-12-06,"Austin, Texas, United States",within an hour,1.0,,False,Rosedale,1.0,"['email', 'phone', 'reviews', 'jumio']",True,True
461404,1021729,Nita,2011-08-25,"Austin, Texas, United States",within a day,1.0,0.55,False,Brentwood,2.0,"['email', 'phone', 'reviews', 'kba']",True,True
5506252,2097361,Randy,2012-04-09,"Austin, Texas, United States",,,,False,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
951537,5160284,Nikki,2013-02-20,"Austin, Texas, United States",within a day,0.5,0.94,False,Brentwood,2.0,"['email', 'phone', 'facebook', 'reviews']",True,True
8652103,28585339,Eric,2015-03-01,"Austin, Texas, United States",within an hour,1.0,1.0,False,Brentwood,1.0,"['email', 'phone', 'linkedin', 'kba']",True,True
330705,1687198,M. Ann,2012-02-02,"Austin, Texas, United States",,,,False,Brentwood,1.0,"['email', 'phone', 'reviews']",True,True
329129,1680692,Jennifer,2012-01-31,"Austin, Texas, United States",,,,False,Rosedale,1.0,"['email', 'phone', 'facebook', 'reviews']",True,True
3689085,18775364,Just,2014-07-24,"Austin, Texas, United States",within an hour,1.0,1.0,True,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews']",True,True
2077867,56895,Daniel,2009-11-23,"Austin, Texas, United States",within an hour,1.0,1.0,True,Brentwood,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,True
5309636,21597290,Sofia,2014-09-21,"Austin, Texas, United States",within an hour,1.0,1.0,False,Brentwood,4.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",True,True
5447456,28256866,Jordan,2015-02-23,"Austin, Texas, United States",within an hour,1.0,0.67,False,Brentwood,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",True,True
4156939,21597290,Sofia,2014-09-21,"Austin, Texas, United States",within an hour,1.0,1.0,False,Brentwood,4.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",True,True
3041605,15438805,EmilyAnne,2014-05-12,"Austin, Texas, United States",within a day,1.0,,False,Brentwood,1.0,"['email', 'phone', 'facebook', 'kba']",True,True
7128645,33666377,Caleb,2015-05-18,"Austin, Texas, United States",,,,False,Brentwood,3.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",True,True
2041310,475506,Dan,2011-03-31,"Austin, Texas, United States",within a few hours,1.0,0.92,True,University of Texas,2.0,"['email', 'phone', 'reviews', 'kba']",True,True
4211596,21856018,Alison,2014-09-27,US,within an hour,1.0,0.8,False,Brentwood,1.0,"['email', 'phone', 'linkedin', 'reviews', 'jumio']",True,True
