id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6066627,Beautiful home in Steiner Ranch,18845205,Brendan,78732,30.37233635191825,-97.89821794318509,Entire home/apt,200,1,1,2015-08-09,0.33,1,349
8205083,Queen bed in fully furnished house,15303928,Chain,78732,30.382785210815353,-97.87664478849257,Private room,1000,1,0,,,1,39
8647145,6BR/6BA Lake Austin Luxury Estate!,4122442,Karen,78732,30.34136727455369,-97.92957627522146,Entire home/apt,1650,3,0,,,6,361
8538141,3BR Urban Lake House,31148752,Bo,78732,30.39202961064944,-97.89353802795277,Entire home/apt,629,2,0,,,2,353
5391565,Lakeview 3 story home,4852962,,78732,30.41612788570691,-97.89248852062175,Entire home/apt,225,2,3,2015-04-14,0.38,1,341
8538670,Stone & Timber Austin Estate,31148752,Bo,78732,30.39553596553873,-97.88505582033908,Entire home/apt,469,2,1,2015-10-26,1.0,2,323
775002,Beautiful Lakehouse in Canyon Lake,4088310,Beatrice,78732,30.337092743402724,-97.92791648684171,Entire home/apt,1500,1,0,,,1,365
5530513,Perfect Lake Austin Getaway!!,28680171,Ann,78732,30.328177426511587,-97.92186298909456,Entire home/apt,565,2,7,2015-10-13,0.91,1,352
8681039,Lake Austin Cottage-1 block to lake,45584851,Jenelle,78732,30.32960243850949,-97.92718281167471,Entire home/apt,250,2,0,,,1,355
5562945,SXSW Home for Rent Steiner Ranch,28842686,Brendan,78732,30.373366271501517,-97.89921233390645,Entire home/apt,499,1,0,,,1,365
4704597,Hillcountry Reatreat Lake Austin ,24319090,Helen,78732,30.329731864520866,-97.91975339843552,Entire home/apt,599,2,4,2015-09-08,0.78,1,361
3230604,2 bedrm Private Pool on Lake Travis,16350192,Kimberly,78732,30.41650413926077,-97.88942629414478,Entire home/apt,149,1,15,2015-11-03,0.91,1,328
951773,WATERFRONT- STEINER RANCH/LAKEWAY,1651456,Lydia,78732,30.39204079066124,-97.89259684380501,Private room,85,2,10,2015-11-01,2.17,2,361
8268970,"Austin Casita 
SW area",33604051,K,78737,30.224088508228284,-97.91658965146328,Private room,110,1,0,,,1,352
7717113,Private Rm Quiet & 20 min from town,39525617,Dawn,78737,30.222844890443355,-97.91193910958151,Private room,48,1,2,2015-09-09,0.72,1,297
8796080,"Private bedroom and bath, balcony",46094709,Linda,78737,30.20485296066121,-97.9255051128803,Private room,89,2,0,,,1,142
1645518,The Curly J - hilltop mini-ranch!,8732670,Diane And Gary,78737,30.212766246805334,-97.96575406921234,Entire home/apt,165,2,54,2015-10-24,2.15,1,157
